_c0,Player,height,weight,collage,born,birth_city,birth_state,First_Name,Last_Name
1117,Terry Thomas,203,99,University of Detroit Mercy,1953,Detroit,Michigan,Terry,Thomas
1118,Rudy White,188,88,Arizona State University,1953,Silver City,New Mexico,Rudy,White
1119,Gus Williams,188,79,University of Southern California,1953,Mount Vernon,New York,Gus,Williams
1120,Bill Willoughby,203,92,Unknown,1957,Englewood,New Jersey,Bill,Willoughby
1121,Tom Abernethy,201,99,Indiana University,1954,South Bend,Indiana,Tom,Abernethy
1122,Bird Averitt,185,77,Pepperdine University,1952,Hopkinsville,Kentucky,Bird,Averitt
1123,Tom Barker,211,102,University of Hawaii,1955,Harlingen,Texas,Tom,Barker
1124,Marvin Barnes,203,95,Providence College,1952,Providence,Rhode Island,Marvin,Barnes
1125,Norton Barnhill,193,92,Washington State University,1953,Winston-Salem,North Carolina,Norton,Barnhill
1126,Mike Barr,190,81,Duquesne University,1950,Canton,Ohio,Mike,Barr
1127,Tim Bassett,203,102,University of Georgia,1951,Washington,District of Columbia,Tim,Bassett
1128,Byron Beck,206,102,University of Denver,1945,Ellensburg,Washington,Byron,Beck
1129,Mel Bennett,201,90,University of Pittsburgh,1955,Pittsburgh,Pennsylvania,Mel,Bennett
1130,Ron Boone,188,90,Idaho State University,1946,Oklahoma City,Oklahoma,Ron,Boone
1131,Quinn Buckner,190,86,Indiana University,1954,Phoenix,Illinois,Quinn,Buckner
1132,Ticky Burden,188,83,University of Utah,1953,Haines City,Florida,Ticky,Burden
1133,Don Buse,193,86,University of Evansville,1950,Huntingburg,Indiana,Don,Buse
1134,Mack Calvin,183,74,University of Southern California,1947,Fort Worth,Texas,Mack,Calvin
1135,M.L. Carr,183,74,Unknown,1947,Unknown,Unknown,M.L.,Carr
1136,Cornelius Cash,203,97,Bowling Green State University,1952,Macon,Mississippi,Cornelius,Cash
1137,Norm Cook,203,95,University of Kansas,1955,Chicago,Illinois,Norm,Cook
1138,Louie Dampier*,183,77,University of Kentucky,1944,Indianapolis,Indiana,Louie,Dampier*
1139,Mel Daniels*,206,99,University of New Mexico,1944,Detroit,Michigan,Mel,Daniels*
1140,Adrian Dantley*,196,94,University of Notre Dame,1956,Washington,District of Columbia,Adrian,Dantley*
1141,Johnny Davis,188,77,University of Dayton,1955,Detroit,Michigan,Johnny,Davis
